chrom	start	end	summary_label	compare_label	background_category	category_pop_count	category_pop_freq	asm_fishers_pvalue	mean_hap1_methyl	mean_hap2_methyl	mean_meth_delta	mean_abs_meth_delta_zscore	mean_combined_methyl	mean_combined_methyl_zscore	num_phased_cpgs	num_partial_cpgs	num_unphased_cpgs
chr19	45746974	45747200	Uncategorized	InsufficientData				1.0	0.3986638438014585	0.41452991452991456	0.015866070728456045		0.40378335324571885		3	0	0
chr19	45749503	45749735	Uncategorized	InsufficientData				0.9490197010686061	0.42731703334937765	0.433826474528896	0.006509441179518339		0.4235292610854847		11	0	0
chr19	45766922	45767148	Unmethylated	InsufficientData				0.5150727550523961	0.05709783126864462	0.055553302457061776	-0.0015445288115828533		0.0568216095869577		15	0	0
chr19	45767445	45767728	Unmethylated	InsufficientData				0.6505460375160756	0.023485827894998236	0.016434837734358033	-0.0070509901606402026		0.02548407612860624		20	0	0
chr19	45767633	45767898	Unmethylated	InsufficientData				0.3383026932113483	0.025971856930601677	0.024785612269829106	-0.0011862446607725753		0.029858999239110465		19	0	0
chr19	45768152	45768378	Unmethylated	InsufficientData				0.039848411303021185	0.09435853987771207	0.0695569807549339	-0.024801559122778167		0.09066297522149074		28	0	0
chr19	45768377	45768613	Unmethylated	InsufficientData				0.000011929124307321837	0.03861459569613004	0.04863031542450309	0.010015719728373043		0.04285633716246932		35	0	0
chr19	45768738	45768932	Unmethylated	InsufficientData				0.2530748602736655	0.025434191162303707	0.016328214899527613	-0.009105976262776089		0.02679499286300352		17	0	0
chr19	45769240	45769726	Unmethylated	InsufficientData				0.04925379319718243	0.06178834574848983	0.0693302466613215	0.0075419009128316955		0.06855654229834085		48	0	0
chr19	45770259	45770487	Unmethylated	InsufficientData				0.4335525468129675	0.05240334781324627	0.05414052256066779	0.0017371747474215222		0.05294647716585731		24	0	0
chr19	45770597	45770954	Unmethylated	InsufficientData				0.0016772706552810922	0.04305216473092118	0.016542946892169313	-0.02650921783875188		0.03559229996536218		33	0	0
chr19	45779573	45779776	Unmethylated	InsufficientData				0.3005625555892726	0.11671652794600701	0.07627323531169684	-0.04044329263431015		0.10777974090328213		13	0	0
chr19	45781257	45781431	Unmethylated	InsufficientData				0.7677101923085929	0.04032258064516129	0.05451072583014987	0.01418814518498858		0.0446790212506242		2	0	0
chr19	45781596	45781786	Uncategorized	InsufficientData				0.0220835883004818	0.27919401900461965	0.28132705795496493	0.0021330389503453145		0.2728103736186277		10	0	0
chr19	45781848	45782077	Uncategorized	InsufficientData				0.025720206159613443	0.4948453608247423	0.27906976744186046	-0.21577559338288183		0.42142857142857143		1	0	0
chr19	45782052	45782252	Unmethylated	InsufficientData				0.030652077780815423	0.039409095026723434	0.018583333333333334	-0.0208257616933901		0.03399473042006527		5	0	0
chr19	45782435	45782616	Unmethylated	InsufficientData				0.0031808851301165664	0.022121993127147768	0.04114583333333334	0.01902384020618557		0.023418491484184914		4	0	0
chr19	45782855	45783059	Unmethylated	InsufficientData				1.0	0.028998797117578943	0.024078624078624083	-0.004920173038954866		0.028487297969908534		3	0	0
chr19	45783128	45783349	Unmethylated	InsufficientData				0.7024009916331444	0.02935815957070257	0.02460519901333747	-0.004752960557365101		0.02897957342088574		10	0	0
chr19	45783520	45783730	Unmethylated	InsufficientData				0.02782968202502112	0.05225365258006947	0.06573660714285715	0.01348295456278767		0.06030278825542946		8	0	0
chr19	45792709	45793153	Unmethylated	InsufficientData				0.4796012742946736	0.03806817804440792	0.03821979633997972	0.0001516182955718073		0.040828160569451794		49	0	0
chr19	45799024	45799290	Unmethylated	InsufficientData				0.8281795053149901	0.02305102052781786	0.03032296249902997	0.007271941971212109		0.025111559463039893		7	0	0
chr19	45799077	45799507	Unmethylated	InsufficientData				0.5642837297878995	0.021435443303009474	0.021244846251477753	-0.0001905970515317214		0.025139928792630252		8	0	0
chr19	45800130	45800348	Unmethylated	InsufficientData				0.6740288575585144	0.05263157894736842	0.022222222222222223	-0.030409356725146195		0.03773584905660377		1	0	0
chr19	45806505	45806797	Uncategorized	InsufficientData				0.09530461508194463	0.2260317989443742	0.29224537037037035	0.06621357142599615		0.25289312127850777		4	0	0
chr19	45809805	45810024	Unmethylated	InsufficientData				0.34113870827822135	0.028846153846153848	0.0	-0.028846153846153848		0.029411764705882353		2	0	0
chr19	45810188	45810359	Uncategorized	InsufficientData				1.2558610526644103e-33	0.47188926572606604	0.0	-0.47188926572606604		0.3416497171766722		6	0	0
chr19	45817186	45817471	Unmethylated	InsufficientData				0.8676104157691437	0.021276045055136122	0.02151667229499205	0.00024062723985593366		0.02376995208441251		13	0	0
