chr	pos	norm_FIRE	norm_other	large_FIRE	large_other	small_FIRE	small_other	fraction_actuation_normal	fraction_actuation_large	fraction_actuation_small	fraction_actuation_diff_large	fraction_actuation_diff_small	pval_large	pval_small	log_pval_large	log_pval_small	corrected_pvals_large	corrected_pvals_small	log_corrected_pvals_large	log_corrected_pvals_small
chr19	45691917	78	3	50	3	37	1	0.9629629629629629	0.9433962264150944	0.9736842105263158	-0.019566736547868557	0.01072124756335291	0.6806018154125462	1.0	0.16710689681734772	-0.0	1.0	1.0	-0.0	-0.0
chr19	45691940	78	3	51	2	37	1	0.9629629629629629	0.9622641509433962	0.9736842105263158	-0.0006988120195666747	0.01072124756335291	1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45691941	78	3	51	2	37	1	0.9629629629629629	0.9622641509433962	0.9736842105263158	-0.0006988120195666747	0.01072124756335291	1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45691953	78	3	51	2	37	1	0.9629629629629629	0.9622641509433962	0.9736842105263158	-0.0006988120195666747	0.01072124756335291	1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45692316	70	7	44	10	32	6	0.9090909090909091	0.8148148148148148	0.8421052631578947	-0.09427609427609429	-0.06698564593301437	0.1232997241114434	0.35068432944082195	0.9090378951561889	0.4550836404185667	1.0	1.0	-0.0	-0.0
chr19	45692402	59	17	42	13	28	10	0.7763157894736842	0.7636363636363637	0.7368421052631579	-0.012679425837320513	-0.03947368421052633	1.0	0.6469464686997879	-0.0	0.1891316533500042	1.0	1.0	-0.0	-0.0
chr19	45692569	70	5	49	4	36	2	0.9333333333333333	0.9245283018867925	0.9473684210526315	-0.008805031446540879	0.014035087719298178	1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45692665	64	12	44	9	36	2	0.8421052631578947	0.8301886792452831	0.9473684210526315	-0.011916583912611634	0.10526315789473684	1.0	0.1365879212379948	-0.0	0.8645877045463328	1.0	1.0	-0.0	-0.0
chr19	45692672	64	12	42	9	36	1	0.8421052631578947	0.8235294117647058	0.972972972972973	-0.018575851393188847	0.13086770981507834	0.8109526268179321	0.05731486627758711	0.09100451510139719	1.2417327165155063	1.0	1.0	-0.0	-0.0
chr19	45692696	57	19	31	21	32	6	0.75	0.5961538461538461	0.8421052631578947	-0.15384615384615385	0.09210526315789469	0.08128835180842153	0.3397342602052201	1.0899716820535963	0.46886065487321626	1.0	1.0	-0.0	-0.0
chr19	45692757	28	52	12	42	16	25	0.35	0.2222222222222222	0.3902439024390244	-0.12777777777777777	0.040243902439024426	0.12727951224274467	0.6931077994752841	0.8952414976503685	0.1591992140514501	1.0	1.0	-0.0	-0.0
chr19	45698479	2	93	3	57	2	31	0.021052631578947368	0.05	0.06060606060606061	0.028947368421052635	0.03955342902711324	0.3758189609377767	0.27341207349081365	0.4250213125193768	0.5631823115141209	1.0	1.0	-0.0	-0.0
chr19	45715278	2	88	3	60	1	43	0.022222222222222223	0.047619047619047616	0.022727272727272728	0.025396825396825393	0.0005050505050505048	0.4030764628410729	1.0	0.39461256120365495	-0.0	1.0	1.0	-0.0	-0.0
chr19	45717381	76	0	52	1	31	2	1.0	0.9811320754716981	0.9393939393939394	-0.018867924528301883	-0.06060606060606055	0.4108527131782946	0.08970438328236491	0.3863138406984599	1.04718633522978	1.0	1.0	-0.0	-0.0
chr19	45723496	1	88	1	56	0	17	0.011235955056179775	0.017543859649122806	0.0	0.006307904592943031	-0.011235955056179775	1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45730896	98	8	41	5	42	2	0.9245283018867925	0.8913043478260869	0.9545454545454546	-0.03322395406070555	0.030017152658662116	0.5345222585115293	0.7240340372107716	0.27203420524012556	0.140241016917006	1.0	1.0	-0.0	-0.0
chr19	45733438	2	114	0	48	2	49	0.017241379310344827	0.0	0.0392156862745098	-0.017241379310344827	0.021974306964164976	1.0	0.5864400283396554	-0.0	0.2317763939369657	1.0	1.0	-0.0	-0.0
chr19	45764784	3	90	1	35	0	33	0.03225806451612903	0.027777777777777776	0.0	-0.004480286738351255	-0.03225806451612903	1.0	0.5662857142857143	-0.0	0.24696439420101912	1.0	1.0	-0.0	-0.0
chr19	45767795	25	66	4	27	8	21	0.27472527472527475	0.12903225806451613	0.27586206896551724	-0.14569301666075862	0.001136794240242489	0.1422853254104564	1.0	0.8468398885446404	-0.0	1.0	1.0	-0.0	-0.0
chr19	45768386	18	75	4	25	8	23	0.1935483870967742	0.13793103448275862	0.25806451612903225	-0.05561735261401557	0.06451612903225806	0.5902542036973856	0.4529217793427499	0.2289609112613876	0.3439767951904005	1.0	1.0	-0.0	-0.0
chr19	45768627	13	80	6	23	6	25	0.13978494623655913	0.20689655172413793	0.1935483870967742	0.0671116054875788	0.05376344086021506	0.38905860944144166	0.5652173852047229	0.4099849697805179	0.24778448839750766	1.0	1.0	-0.0	-0.0
chr19	45768855	29	63	7	21	14	18	0.31521739130434784	0.25	0.4375	-0.06521739130434784	0.12228260869565216	0.6395227454682013	0.2808604780108016	0.19414400465575743	0.5515093693403108	1.0	1.0	-0.0	-0.0
chr19	45769252	63	27	7	18	19	11	0.7	0.28	0.6333333333333333	-0.41999999999999993	-0.06666666666666665	0.00034324596960889887	0.5046245355917681	3.4643945535431855	0.2970316372646121	0.028489415477538606	1.0	1.5453164611671117	-0.0
chr19	45770981	27	63	1	28	10	22	0.3	0.034482758620689655	0.3125	-0.2655172413793103	0.012500000000000011	0.0022183878968198346	1.0	2.6539625128670403	-0.0	0.09206309771802314	1.0	1.0359144161549476	-0.0
chr19	45770995	22	70	1	28	10	23	0.2391304347826087	0.034482758620689655	0.30303030303030304	-0.20464767616191903	0.06389986824769434	0.013702136346463549	0.49136716974665584	1.8632117152415273	0.30859386387989773	0.22745546335129493	1.0	0.6431036272014722	-0.0
chr19	45771012	17	75	0	29	10	24	0.18478260869565216	0.0	0.29411764705882354	-0.18478260869565216	0.10933503836317138	0.011516373912683833	0.222652457127047	1.938684242927416	0.6523725077601122	0.22745546335129493	1.0	0.6431036272014722	-0.0
chr19	45771365	0	91	0	30	2	33	0.0	0.0	0.05714285714285714	0.0	0.05714285714285714	1.0	0.07555555555555556	-0.0	1.1217335967330886	1.0	1.0	-0.0	-0.0
chr19	45772109	2	83	1	27	1	35	0.023529411764705882	0.03571428571428571	0.027777777777777776	0.01218487394957983	0.004248366013071894	1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45772712	3	88	1	32	2	35	0.03296703296703297	0.030303030303030304	0.05405405405405406	-0.002664002664002664	0.02108702108702109	1.0	0.6262231711963424	-0.0	0.20327086687475193	1.0	1.0	-0.0	-0.0
chr19	45772851	2	89	1	33	2	34	0.02197802197802198	0.029411764705882353	0.05555555555555555	0.007433742727860373	0.03357753357753357	1.0	0.31820167640335284	-0.0	0.49729753666050025	1.0	1.0	-0.0	-0.0
chr19	45773806	0	94	0	35	1	40	0.0	0.0	0.024390243902439025	0.0	0.024390243902439025	1.0	0.3037037037037037	-0.0	0.5175499117752707	1.0	1.0	-0.0	-0.0
chr19	45777037	1	94	1	36	1	35	0.010526315789473684	0.02702702702702703	0.027777777777777776	0.016500711237553346	0.017251461988304094	0.4835762202174416	0.47563123899001764	0.3155350636472182	0.32272962908395125	1.0	1.0	-0.0	-0.0
chr19	45777447	5	92	0	37	0	36	0.05154639175257732	0.0	0.0	-0.05154639175257732	-0.05154639175257732	0.3218880925386566	0.32289971700587716	0.4922950886775563	0.490932335604826	1.0	1.0	-0.0	-0.0
chr19	45777954	1	97	0	39	1	33	0.01020408163265306	0.0	0.029411764705882353	-0.01020408163265306	0.019207683073229294	1.0	0.4502660189683092	-0.0	0.34653082747947084	1.0	1.0	-0.0	-0.0
chr19	45779359	5	101	2	40	0	41	0.04716981132075472	0.047619047619047616	0.0	0.000449236298292896	-0.04716981132075472	1.0	0.3223635913763453	-0.0	0.49165401450107277	1.0	1.0	-0.0	-0.0
chr19	45779569	21	82	4	39	6	33	0.20388349514563106	0.09302325581395349	0.15384615384615385	-0.11086023933167757	-0.050037341299477206	0.14780302843577553	0.6339119067750916	0.8303166672979476	0.19797109079285252	1.0	1.0	-0.0	-0.0
chr19	45779619	50	53	11	32	15	24	0.4854368932038835	0.2558139534883721	0.38461538461538464	-0.2296229397155114	-0.10082150858849886	0.010730601855046826	0.34643077239095044	1.9693759187614082	0.4603835378844455	0.22745546335129493	1.0	0.6431036272014722	-0.0
chr19	45780362	1	96	1	44	0	40	0.010309278350515464	0.022222222222222223	0.0	0.01191294387170676	-0.010309278350515464	0.5349115972430327	1.0	0.2717179862065807	-0.0	1.0	1.0	-0.0	-0.0
chr19	45780486	4	90	1	43	0	41	0.0425531914893617	0.022727272727272728	0.0	-0.019825918762088973	-0.0425531914893617	1.0	0.313826251139684	-0.0	0.5033107310860243	1.0	1.0	-0.0	-0.0
chr19	45780506	4	90	1	43	0	41	0.0425531914893617	0.022727272727272728	0.0	-0.019825918762088973	-0.0425531914893617	1.0	0.313826251139684	-0.0	0.5033107310860243	1.0	1.0	-0.0	-0.0
chr19	45780541	5	88	1	43	0	41	0.053763440860215055	0.022727272727272728	0.0	-0.031036168132942327	-0.053763440860215055	0.663919391989455	0.3227173784461672	0.17788464614293004	0.49117764705331	1.0	1.0	-0.0	-0.0
chr19	45780544	6	87	1	43	0	41	0.06451612903225806	0.022727272727272728	0.0	-0.041788856304985335	-0.06451612903225806	0.4289195164645243	0.17688388373676467	0.3676241922780322	0.7523117347728006	1.0	1.0	-0.0	-0.0
chr19	45780545	6	87	1	43	0	41	0.06451612903225806	0.022727272727272728	0.0	-0.041788856304985335	-0.06451612903225806	0.4289195164645243	0.17688388373676467	0.3676241922780322	0.7523117347728006	1.0	1.0	-0.0	-0.0
chr19	45780603	8	85	2	41	2	39	0.08602150537634409	0.046511627906976744	0.04878048780487805	-0.03950987746936735	-0.03724101757146604	0.5036491598337864	0.7230461972460389	0.2978718861841899	0.1408339536486564	1.0	1.0	-0.0	-0.0
chr19	45780747	7	88	1	43	3	38	0.07368421052631578	0.022727272727272728	0.07317073170731707	-0.050956937799043055	-0.0005134788189987138	0.43535623406625573	1.0	0.36115523229740776	-0.0	1.0	1.0	-0.0	-0.0
chr19	45782388	14	82	2	42	11	28	0.14583333333333334	0.045454545454545456	0.28205128205128205	-0.10037878787878789	0.1362179487179487	0.09445948377821115	0.08649713844893678	1.0247544321754414	1.0629982598923304	1.0	1.0	-0.0	-0.0
chr19	45782479	33	59	10	29	12	23	0.358695652173913	0.2564102564102564	0.34285714285714286	-0.10228539576365664	-0.015838509316770166	0.31128501927810676	1.0	0.506841779418364	-0.0	1.0	1.0	-0.0	-0.0
chr19	45782489	34	62	11	32	12	26	0.3541666666666667	0.2558139534883721	0.3157894736842105	-0.09835271317829458	-0.038377192982456176	0.32739158646987543	0.8402574331053767	0.48493248557360963	0.07558763697527165	1.0	1.0	-0.0	-0.0
chr19	45782490	35	62	11	32	12	26	0.36082474226804123	0.2558139534883721	0.3157894736842105	-0.10501078877966913	-0.04503526858383072	0.24756553381744573	0.6908182897415922	0.6063098181123636	0.1606361728001508	1.0	1.0	-0.0	-0.0
chr19	45782496	37	60	12	31	12	26	0.38144329896907214	0.27906976744186046	0.3157894736842105	-0.10237353152721168	-0.06565382528486163	0.2570449217836311	0.5529563337292047	0.5899909716963143	0.2573091630338451	1.0	1.0	-0.0	-0.0
chr19	45782552	37	60	14	29	12	26	0.38144329896907214	0.32558139534883723	0.3157894736842105	-0.05586190362023491	-0.06565382528486163	0.5723042907037562	0.5529563337292047	0.24237299806858195	0.2573091630338451	1.0	1.0	-0.0	-0.0
chr19	45785659	6	93	3	38	2	36	0.06060606060606061	0.07317073170731707	0.05263157894736842	0.012564671101256461	-0.00797448165869219	0.7212342224084505	1.0	0.1419236742811273	-0.0	1.0	1.0	-0.0	-0.0
chr19	45785713	6	93	2	38	2	36	0.06060606060606061	0.05	0.05263157894736842	-0.010606060606060605	-0.00797448165869219	1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45785910	4	95	2	38	2	37	0.04040404040404041	0.05	0.05128205128205128	0.009595959595959595	0.010878010878010873	1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45785973	2	98	1	40	1	38	0.02	0.024390243902439025	0.02564102564102564	0.004390243902439025	0.00564102564102564	1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45790176	0	102	0	39	0	36	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45791045	0	105	1	41	2	34	0.0	0.023809523809523808	0.05555555555555555	0.023809523809523808	0.05555555555555555	0.2857142857142857	0.06382978723404256	0.5440680443502757	1.194976603216055	1.0	1.0	-0.0	-0.0
chr19	45792437	13	91	9	38	7	25	0.125	0.19148936170212766	0.21875	0.06648936170212766	0.09375	0.3222273894895655	0.2516556928281467	0.49183754709923033	0.5991932407650097	1.0	1.0	-0.0	-0.0
chr19	45792773	58	40	24	22	20	12	0.5918367346938775	0.5217391304347826	0.625	-0.07009760425909495	0.03316326530612246	0.4728968583841066	0.8364982241544774	0.32523357114206747	0.07753497668691822	1.0	1.0	-0.0	-0.0
chr19	45792802	77	18	37	9	24	8	0.8105263157894737	0.8043478260869565	0.75	-0.006178489702517109	-0.06052631578947365	1.0	0.4577138002432314	-0.0	0.3394059932333248	1.0	1.0	-0.0	-0.0
chr19	45792845	80	14	39	6	25	7	0.851063829787234	0.8666666666666667	0.78125	0.015602836879432647	-0.06981382978723405	1.0	0.41222237636000336	-0.0	0.38486843743328775	1.0	1.0	-0.0	-0.0
chr19	45810931	1	100	1	49	1	27	0.009900990099009901	0.02	0.03571428571428571	0.0100990099009901	0.02581329561527581	1.0	0.38832364341085274	-0.0	0.4108061662650101	1.0	1.0	-0.0	-0.0
chr19	45815228	1	107	0	61	1	44	0.009259259259259259	0.0	0.022222222222222223	-0.009259259259259259	0.012962962962962964	1.0	0.5030959752321981	-0.0	0.2983491570162098	1.0	1.0	-0.0	-0.0
chr19	45815308	1	106	0	61	0	46	0.009345794392523364	0.0	0.0	-0.009345794392523364	-0.009345794392523364	1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45817133	7	98	6	61	5	41	0.06666666666666667	0.08955223880597014	0.10869565217391304	0.02288557213930348	0.042028985507246375	0.5705266390027508	0.5135461021488403	0.24372407271500363	0.28942056275781647	1.0	1.0	-0.0	-0.0
chr19	45818013	4	101	3	67	4	37	0.0380952380952381	0.04285714285714286	0.0975609756097561	0.004761904761904759	0.059465737514518	1.0	0.2208620854837295	-0.0	0.6558788313374896	1.0	1.0	-0.0	-0.0
chr19	45824012	3	114	0	75	2	48	0.02564102564102564	0.0	0.04	-0.02564102564102564	0.01435897435897436	0.28214986910994766	0.6362134857733347	0.549520146864224	0.19639712942093782	1.0	1.0	-0.0	-0.0
chr19	45824161	4	113	3	71	1	49	0.03418803418803419	0.04054054054054054	0.02	0.006352506352506351	-0.014188034188034191	1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45855710	0	0	0	0	0	0						1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45855807	0	0	0	0	0	0						1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45863130	0	0	0	0	0	0						1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45863144	0	0	0	0	0	0						1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45863147	0	0	0	0	0	0						1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
