chr	start	end	norm_FIRE	norm_other	large_FIRE	large_other	small_FIRE	small_other	fraction_actuation_normal	fraction_actuation_large	fraction_actuation_small	fraction_actuation_diff_large	fraction_actuation_diff_small	pval_large	pval_small	log_pval_large	log_pval_small	corrected_pvals_large	corrected_pvals_small	log_corrected_pvals_large	log_corrected_pvals_small	label_large	label_small
chr19	45693394	45693595	64	25	38	16	26	12	0.7191011235955056	0.7037037037037037	0.6842105263157895	-0.015397419891801878	-0.03489059727971611	0.8509021757207573	0.6767872975365437	0.07012036586923501	0.16954780106471157	0.9825468729926292	0.9220945497275037	0.007646722177494953	0.03522454497715269		
chr19	45707334	45707564	34	66	27	45	31	16	0.34	0.375	0.6595744680851063	0.034999999999999976	0.3195744680851063	0.7468022080080268	0.00035271417810985977	0.1267944066786577	3.4525770825748756	0.9629817945366661	0.01728299472738313	0.016381923266954198	1.762381002546362		QPCTL/FBXO46 intergenic
chr19	45716627	45716832	18	60	14	41	5	32	0.23076923076923078	0.2545454545454545	0.13513513513513514	0.023776223776223737	-0.09563409563409564	0.8375493867816668	0.31965811550964884	0.07698957500827174	0.4953142651818843	0.9825468729926292	0.8071290221087786	0.007646722177494953	0.09305703639183945		
chr19	45717243	45717586	76	1	52	2	31	2	0.987012987012987	0.9629629629629629	0.9393939393939394	-0.0240500240500241	-0.04761904761904756	0.5684660448729328	0.2136595310907237	0.2452954711076839	0.6702777290682596	0.916742608373364	0.8071290221087786	0.03775258303695536	0.09305703639183945		
chr19	45717268	45717778	77	2	52	3	31	2	0.9746835443037974	0.9454545454545454	0.9393939393939394	-0.029228998849252008	-0.035289604909858	0.4007363743756109	0.5798289114802877	0.3971412353720358	0.23670013361139253	0.8925491974729515	0.9220945497275037	0.049367836165728374	0.03522454497715269		
chr19	45717695	45717982	55	25	35	20	26	7	0.6875	0.6363636363636364	0.7878787878787878	-0.051136363636363646	0.10037878787878785	0.5799800175423323	0.3608113696379016	0.23658696923119635	0.4427197857276478	0.916742608373364	0.8071290221087786	0.03775258303695536	0.09305703639183945		
chr19	45722008	45722358	21	62	13	43	2	18	0.25301204819277107	0.23214285714285715	0.1	-0.020869191049913915	-0.15301204819277106	0.8423503427004958	0.2303727890683647	0.07450724311270832	0.6375688197599199	0.9825468729926292	0.8071290221087786	0.007646722177494953	0.09305703639183945		
chr19	45722663	45722896	22	64	16	40	3	15	0.2558139534883721	0.2857142857142857	0.16666666666666666	0.029900332225913595	-0.08914728682170545	0.7025248453384636	0.5517638183067023	0.15333831198858824	0.2582467816113412	0.9303707411239113	0.9220945497275037	0.031343956027069575	0.03522454497715269		
chr19	45730083	45730260	32	80	14	33	11	27	0.2857142857142857	0.2978723404255319	0.2894736842105263	0.012158054711246202	0.003759398496240629	1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0		
chr19	45730287	45730489	28	84	10	39	7	34	0.25	0.20408163265306123	0.17073170731707318	-0.04591836734693877	-0.07926829268292682	0.6869960461119774	0.38666255181244147	0.16304576244072855	0.41266788722031134	0.9303707411239113	0.8071290221087786	0.031343956027069575	0.09305703639183945		
chr19	45730798	45731196	102	6	44	4	43	2	0.9444444444444444	0.9166666666666666	0.9555555555555556	-0.02777777777777779	0.011111111111111183	0.4981421210414232	1.0	0.3026467343919911	-0.0	0.916742608373364	1.0	0.03775258303695536	-0.0		
chr19	45746974	45747200	25	82	12	46	3	23	0.2336448598130841	0.20689655172413793	0.11538461538461539	-0.026748308088946182	-0.11826024442846872	0.8452865044173827	0.28300380935016245	0.07299606478023253	0.5482077186501946	0.9825468729926292	0.8071290221087786	0.007646722177494953	0.09305703639183945		
chr19	45749503	45749735	31	72	7	52	10	18	0.30097087378640774	0.11864406779661017	0.35714285714285715	-0.18232680598979756	0.056171983356449406	0.011554880823059081	0.6470802683605175	1.9372345294713043	0.1890418430657523	0.09436486005498249	0.9220945497275037	1.0251896998264343	0.03522454497715269		
chr19	45766922	45767148	46	44	14	21	9	21	0.5111111111111111	0.4	0.3	-0.11111111111111105	-0.21111111111111108	0.3205199598949694	0.05719210753451165	0.49414492027205614	1.2426638993661734	0.7852739017426751	0.8071290221087786	0.10497883590752367	0.09305703639183945		
chr19	45767445	45767728	62	31	20	12	17	14	0.6666666666666666	0.625	0.5483870967741935	-0.04166666666666663	-0.11827956989247312	0.6719796132008145	0.28256691194065153	0.17264390255435166	0.5488786945855032	0.9303707411239113	0.8071290221087786	0.031343956027069575	0.09305703639183945		
chr19	45767633	45767898	63	28	14	19	20	11	0.6923076923076923	0.42424242424242425	0.6451612903225806	-0.26806526806526804	-0.04714640198511166	0.011235365294448645	0.6593773202099853	1.949412802836817	0.1808659948286655	0.09436486005498249	0.9220945497275037	1.0251896998264343	0.03522454497715269		
chr19	45768152	45768378	37	56	12	18	13	18	0.3978494623655914	0.4	0.41935483870967744	0.0021505376344086446	0.021505376344086058	1.0	0.8357911917836407	-0.0	0.07790221010064545	1.0	1.0	-0.0	-0.0		
chr19	45768377	45768613	35	58	11	18	15	16	0.3763440860215054	0.3793103448275862	0.4838709677419355	0.0029662588060808126	0.10752688172043012	1.0	0.2998182818887546	-0.0	0.523141888894906	1.0	0.8071290221087786	-0.0	0.09305703639183945		
chr19	45768738	45768932	40	52	8	21	14	18	0.43478260869565216	0.27586206896551724	0.4375	-0.15892053973013492	0.002717391304347838	0.19095727253063755	1.0	0.7190637970456724	-0.0	0.667648828584665	1.0	0.175451908647361	-0.0		
chr19	45769240	45769726	86	9	14	11	26	6	0.9052631578947369	0.56	0.8125	-0.3452631578947368	-0.09276315789473688	0.00020131016810189437	0.2042470923783113	3.696134288504201	0.6898441172829058	0.0032880660789976076	0.8071290221087786	2.4830594631953495	0.09305703639183945	SIX5 promotor	
chr19	45770259	45770487	79	15	12	33	27	9	0.8404255319148937	0.26666666666666666	0.75	-0.5737588652482271	-0.09042553191489366	7.770610147549027e-11	0.3116187031545645	10.109544879099966	0.5063764841411363	3.807598972299024e-09	0.8071290221087786	8.419348799071452	0.09305703639183945	CTCF peak	
chr19	45770597	45770954	87	7	9	19	29	4	0.925531914893617	0.32142857142857145	0.8787878787878788	-0.6041033434650456	-0.046744036105738185	2.968415142536927e-10	0.4744648749252968	9.527475361646028	0.3237959332699091	7.272617099215471e-09	0.9220945497275037	8.138309277281495	0.03522454497715269	putative SIX5 enhancer	
chr19	45779573	45779776	52	52	15	30	15	24	0.5	0.3333333333333333	0.38461538461538464	-0.16666666666666669	-0.11538461538461536	0.07356184795980074	0.2607045929857945	1.1333473693107472	0.5838513175435432	0.4505663187537795	0.8071290221087786	0.3462412762741771	0.09305703639183945		
chr19	45781257	45781431	26	66	5	39	3	39	0.2826086956521739	0.11363636363636363	0.07142857142857142	-0.16897233201581024	-0.21118012422360247	0.03018348203922108	0.0060969844746448084	1.5202306604123554	2.214884910863708	0.21128437427454755	0.1493761196287978	0.6751326203980986	0.8257188264991755		
chr19	45781596	45781786	25	70	6	38	15	28	0.2631578947368421	0.13636363636363635	0.3488372093023256	-0.12679425837320574	0.0856793145654835	0.12548079995489805	0.31763855692234194	0.9014227212869274	0.4980667857088518	0.6148559197790006	0.8071290221087786	0.21122664125841364	0.09305703639183945		
chr19	45781848	45782077	40	59	14	30	17	24	0.40404040404040403	0.3181818181818182	0.4146341463414634	-0.08585858585858586	0.010593742301059361	0.35601953784118934	1.0	0.44852616791536803	-0.0	0.8307122549627751	1.0	0.08054938262077364	-0.0		
chr19	45782052	45782252	43	57	12	32	13	27	0.43	0.2727272727272727	0.325	-0.1572727272727273	-0.10499999999999998	0.09401993762509554	0.33979878688005716	1.026780041268228	0.4687781759444233	0.5118863270699646	0.8071290221087786	0.29082647067903905	0.09305703639183945		
chr19	45782435	45782616	42	55	14	29	12	27	0.4329896907216495	0.32558139534883723	0.3076923076923077	-0.10740829537281227	-0.1252973830293418	0.2652211615600986	0.24483965922884482	0.5763918272426486	0.6111182336293739	0.7644609950849901	0.8071290221087786	0.11664466859240885	0.09305703639183945		
chr19	45782855	45783059	67	33	28	14	19	16	0.67	0.6666666666666666	0.5428571428571428	-0.0033333333333334103	-0.12714285714285722	1.0	0.22110900961295157	-0.0	0.6553935606982233	1.0	0.8071290221087786	-0.0	0.09305703639183945		
chr19	45783128	45783349	65	36	30	12	24	11	0.6435643564356436	0.7142857142857143	0.6857142857142857	0.07072135785007072	0.04214992927864214	0.44410794599707626	0.686044108025391	0.35251145634262354	0.16364796117921795	0.9067203897440306	0.9220945497275037	0.04252661802571594	0.03522454497715269		
chr19	45783520	45783730	31	66	9	33	13	22	0.31958762886597936	0.21428571428571427	0.37142857142857144	-0.10530191458026508	0.051840942562592085	0.2284218988160564	0.6763070522827314	0.6412622626018846	0.16985608388693543	0.6995420651241727	0.9220945497275037	0.15518616522929568	0.03522454497715269		
chr19	45792709	45793153	86	16	44	3	26	6	0.8431372549019608	0.9361702127659575	0.8125	0.09303295786399668	-0.030637254901960786	0.1845335509172707	0.7848249494447004	0.7339246611930295	0.10522719926479204	0.667648828584665	1.0	0.175451908647361	-0.0		
chr19	45799024	45799290	89	18	51	7	33	9	0.8317757009345794	0.8793103448275862	0.7857142857142857	0.04753464389300677	-0.04606141522029372	0.4994912782578349	0.4899618611401761	0.3014720906963865	0.3098377243408864	0.916742608373364	0.9220945497275037	0.03775258303695536	0.03522454497715269		
chr19	45799077	45799507	91	21	52	7	33	12	0.8125	0.8813559322033898	0.7333333333333333	0.06885593220338981	-0.07916666666666672	0.2839943579491011	0.28468324546230084	0.5466902878963135	0.5456380917479708	0.7730957521947752	0.8071290221087786	0.11176671297110592	0.09305703639183945		
chr19	45800130	45800348	33	81	17	47	8	37	0.2894736842105263	0.265625	0.17777777777777778	-0.023848684210526327	-0.11169590643274854	0.8622350109935317	0.16436885471645454	0.06437434662642211	0.7841804708969562	0.9825468729926292	0.8071290221087786	0.007646722177494953	0.09305703639183945		
chr19	45806505	45806797	53	52	23	35	19	17	0.5047619047619047	0.39655172413793105	0.5277777777777778	-0.1082101806239737	0.023015873015873045	0.19443521285190307	0.8486965339679757	0.7112250801381046	0.07124757145555598	0.667648828584665	1.0	0.175451908647361	-0.0		
chr19	45809805	45810024	42	63	24	29	9	21	0.4	0.4528301886792453	0.3	0.05283018867924527	-0.10000000000000003	0.6088131158828183	0.3953285006247079	0.2155159999724119	0.403041874708747	0.9303707411239113	0.8071290221087786	0.031343956027069575	0.09305703639183945		
chr19	45810188	45810359	26	78	27	27	12	17	0.25	0.5	0.41379310344827586	0.25	0.16379310344827586	0.0023918936596519827	0.10460561241530716	2.621258132398071	0.9804450135986801	0.02930069733073679	0.8071290221087786	1.5331220436975193	0.09305703639183945	RSPA6A intron 2	
chr19	45817186	45817471	61	43	37	33	23	23	0.5865384615384616	0.5285714285714286	0.5	-0.05796703296703298	-0.08653846153846156	0.533256222561374	0.3741078404203249	0.273064068071125	0.42700318991566366	0.916742608373364	0.8071290221087786	0.03775258303695536	0.09305703639183945		
